Source,Destination,Weight,Source_Name,Destination_Name
UC37zaYRAmrfeelUie0kC0xA,UC-EVWjDDEmcrjFHU9UmAEIw,2,@howardblaylock3490,@whoisbarnes
UC3BeCqrWHxNlpiJGG1s5M6Q,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@spinelessferret,@IgorReminnyi
UCUQV5Sx6Vape2JMfanmxJAw,UCBiZI5yKZMc9nNzWJZhoigw,2,@Victoriablalock-i8n,@KennethWalter-e9n
UCqqiIu-cMtsTE6pPznqGvBg,UC0HW5oSmATugMvAoY8xacdQ,2,@donaldmickunas8552,@asacooperstickland1205
UCO7M8ETekS6_HB5_zo4APxQ,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@TopGJuan,@IgorReminnyi
UCUMpr1_mJTpqMyv4cw0wApA,UC1eM4aUN033eB2k8TcFL9hw,2,@workingonitagain,@akshyaesingh5281
UCO4OLu1L1FhQIvtv7UqaXDQ,UCbsHoLQ91ZFKwZSkhxIthrQ,2,@ivoryas1696,@DM-Sym
UCnAU2Aqf9SRnW99wzGoCjYA,UCtG3RcZbzNXyUFu-LTfAjww,2,@destineybailey6890,@kennysboat4432
UCiCHHiqr1Dz_sz9bEg57gAw,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@saves5650,@IgorReminnyi
UCeoEBnvnRaybWSBPY2FUoUw,UCrfwCYb82omObCkib4LHCQQ,2,@Ziru0Gaming,@MeltedPixels
UCFV70lWovADH8ScHUGuJZ4g,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@PepeSi1via,@IgorReminnyi
UCnFNphL2XryxZc8tAdww7Zw,UCKPgLQb1Nli3iyNRFRGpttg,2,@AcidGubba,@mms3453
UC3fG1xw7Z0aonapOPmy3Oig,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@flifffy,@mipaloma
UCiBifxu351NrMdJmAhHNIlg,UCwCbsG0LNG1kYnVSuUQ5vZw,2,@GöstaHöstasson,@NorthmanPrime
UCnKZMKYcmIREm8r7-oVu0dA,UCKPgLQb1Nli3iyNRFRGpttg,2,@kevoreilly6557,@mms3453
UCbTd7xbIw4W34QWStmGBw6w,UCexc9ztpWt_sJ9VhsegHVQg,2,@PriyaMomma,@willr8545
UCBJ_fDvMcTUP7YIQiyFg0pQ,UCwicfou4Ewu-koikmga-bEg,2,@eighty_am,@AI_In_Context
UC3hW9CmvpHOZF7v165Ni9zg,UCwicfou4Ewu-koikmga-bEg,2,@theo.k.corral6895,@AI_In_Context
UCLNvks26EDnVzmjnS2iQFrA,UCyhOl6uRlxryALlT5yifldw,2,@TaylorHovdi,@JJMcCullough
UCBRXNCLovn0qtDW9ScAK_wA,UCHoc4JfXcXYEWA9GCvRlSVg,2,@humourlessjester3584,@Brandypop
UCwMkGY0J0KZ7DcXX2rqO-Vw,UCpHQ8mSF19Ml1Yk_hnGcoeQ,2,@MisterMe-e5h2t,@Silas2-p7c
UCEnCdzphG_KdMUYskAXjx_Q,UC_tMMlDIuboT0GK1McI7WFQ,2,@karmacomaxo,@EgushYT
UCwJj9xGuaaLucTr0L4-LMCw,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@nolabets3130,@IgorReminnyi
UCni23Y0H6zBAv15eFdZtRBA,UCHoc4JfXcXYEWA9GCvRlSVg,2,@anonsydney,@Brandypop
UCw84lkJmCFFnAtj92eTfkUQ,UCP8LUoSLmT8IjwDsK8OKmDw,2,@DolanAndGoobyFTW,@zeev
UCw5tHwDA3acWjnYAZDGOrCw,UCwicfou4Ewu-koikmga-bEg,2,@VultureXV,@AI_In_Context
UCTTdfmb2iYPoKVbz_l7ofYQ,UCaItA_xyCNvDSf-DLkzClRg,2,@therandommusicguy4773,@Siliconversations
UCoQ_kOIRSL9LvaNFvDIn9Cg,UCBiZI5yKZMc9nNzWJZhoigw,2,@Davidwclutter,@KennethWalter-e9n
UCbO8peZeskxC26XJSiULtUw,UCyhOl6uRlxryALlT5yifldw,2,@JohnSmith-m7k,@JJMcCullough
UCnpkz5ST00Ls8yyI4c-ufpA,UC-EVWjDDEmcrjFHU9UmAEIw,2,@aheath7838,@whoisbarnes
UCEJEEIoXpqWG1fkS76hBnxw,UCexc9ztpWt_sJ9VhsegHVQg,2,@MKluge,@willr8545
UC5pnnIo3_Tap3tBQKfN3-Nw,UCOtYf0KC_w67do1xXoP4gvw,2,@Oatmeal-Savage,@mousermind
UC5baIl8w47nDn0TOrWO9Rhg,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@mattcloud0414,@mipaloma
UCdVEoj4AoTlT3CCgzHhU4_w,UCpHQ8mSF19Ml1Yk_hnGcoeQ,2,@augusto1126,@Silas2-p7c
UCd9NKAxdqZAfTWhsNM8-qQw,UCFk__1iexL3T5gvGcMpeHNA,2,@harmonizedigital.,@LookingGlassUniverse
UC6xxKr4P4FDFTYhkJXv8joQ,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@blackshinkuu5235,@mipaloma
UCDdgYiRZjpncugOb9d1OQcg,UCHK9PzOOwZh2ZVQFq0rpsyw,2,@zacharysherry2910,@mipaloma
UCso6utBs3oAdl7sQ3aZ8GcQ,UC-EVWjDDEmcrjFHU9UmAEIw,2,@Famished4Media,@whoisbarnes
UCeAjDtY5PEyTkh0cxN2q1ng,UCpHQ8mSF19Ml1Yk_hnGcoeQ,2,@mattaech835,@Silas2-p7c
UCN72qthJw06z7o2gq8g3aTg,UCKPgLQb1Nli3iyNRFRGpttg,2,@tl8142,@mms3453
UCDVbinEbhboYAYyTpAXjF4Q,UCZQiLDYpHYBJmtUf7DuSVog,2,@RikkiTechThomas,@victorianorphan
UCtgLAnFnTAYwtUmr1pQ6NJw,UCZfCXCK9pAwBZaj0nXGNbMw,2,@6765dsy,@MannyXN
UCdTAmjegFqjZAoLcBxXj-7A,UCXLW-elmu0h6bKrOtIlqDnA,2,@zoomi5515,@mohammadsaleh4050
UCtc19aNwzemgy0LaKhi4k-Q,UCyhOl6uRlxryALlT5yifldw,2,@wackmanzack,@JJMcCullough
UC7M4uqgDPgYFLrYPPgu4O1w,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@drewpalmer4582,@IgorReminnyi
UCdVEoj4AoTlT3CCgzHhU4_w,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@augusto1126,@IgorReminnyi
